instrument,companyName,cik,form,filedDate,accessionNumber,reportDate,primaryDocument,primaryDocDescription,primaryDocumentUrl,detail_url
MAG7,AMAZON COM INC,0001018724,4,2025-08-25T00:00:00Z,0001018724-25-000106,2025-08-21,xslF345X05/wk-form4_1756156562.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000106/xslF345X05/wk-form4_1756156562.xml,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000106/0001018724-25-000106-index.htm
MAG7,AMAZON COM INC,0001018724,4,2025-08-25T00:00:00Z,0001018724-25-000104,2025-08-21,xslF345X05/wk-form4_1756156078.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000104/xslF345X05/wk-form4_1756156078.xml,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000104/0001018724-25-000104-index.htm
MAG7,AMAZON COM INC,0001018724,4,2025-08-25T00:00:00Z,0001018724-25-000102,2025-08-21,xslF345X05/wk-form4_1756155507.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000102/xslF345X05/wk-form4_1756155507.xml,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000102/0001018724-25-000102-index.htm
MAG7,AMAZON COM INC,0001018724,4,2025-08-25T00:00:00Z,0001018724-25-000100,2025-08-21,xslF345X05/wk-form4_1756155091.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000100/xslF345X05/wk-form4_1756155091.xml,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000100/0001018724-25-000100-index.htm
MAG7,AMAZON COM INC,0001018724,4,2025-08-25T00:00:00Z,0001018724-25-000098,2025-08-21,xslF345X05/wk-form4_1756154458.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000098/xslF345X05/wk-form4_1756154458.xml,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000098/0001018724-25-000098-index.htm
MAG7,AMAZON COM INC,0001018724,144,2025-08-22T00:00:00Z,0001959173-25-005432,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/1018724/000195917325005432/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1018724/000195917325005432/0001959173-25-005432-index.htm
MAG7,AMAZON COM INC,0001018724,144,2025-08-21T00:00:00Z,0001950047-25-006180,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/1018724/000195004725006180/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1018724/000195004725006180/0001950047-25-006180-index.htm
MAG7,AMAZON COM INC,0001018724,144,2025-08-21T00:00:00Z,0001959173-25-005413,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/1018724/000195917325005413/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1018724/000195917325005413/0001959173-25-005413-index.htm
MAG7,AMAZON COM INC,0001018724,144,2025-08-21T00:00:00Z,0001959173-25-005412,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/1018724/000195917325005412/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1018724/000195917325005412/0001959173-25-005412-index.htm
MAG7,AMAZON COM INC,0001018724,144,2025-08-21T00:00:00Z,0001959173-25-005411,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/1018724/000195917325005411/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1018724/000195917325005411/0001959173-25-005411-index.htm
