instrument,timestamp_utc,open_price,high_price,low_price,close_price,record_timestamp_utc
LSE:MAG7,2025-09-15 11:15:00+00:00,33.75,33.81,33.64,33.81,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 11:20:00+00:00,33.75,33.9,33.74,33.9,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 11:25:00+00:00,33.67,33.86,33.67,33.85,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 11:30:00+00:00,33.77,33.79,33.75,33.79,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 11:35:00+00:00,34.0,34.0,34.0,34.0,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 11:40:00+00:00,34.1,34.1,34.1,34.1,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 11:50:00+00:00,34.02,34.02,34.0,34.01,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 11:55:00+00:00,33.94,33.94,33.94,33.94,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 12:00:00+00:00,33.87,33.87,33.76,33.76,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 12:05:00+00:00,33.83,33.83,33.82,33.82,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 12:10:00+00:00,33.99,33.99,33.97,33.97,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 12:15:00+00:00,33.82,33.82,33.82,33.82,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 12:20:00+00:00,33.84,34.0,33.84,34.0,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 12:25:00+00:00,34.0,34.0,33.95,33.95,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 12:30:00+00:00,34.08,34.08,33.95,33.95,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 12:35:00+00:00,34.0,34.09,34.0,34.08,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 12:40:00+00:00,33.87,34.0,33.87,34.0,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 12:45:00+00:00,34.1,34.1,34.1,34.1,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 12:50:00+00:00,34.1,34.1,34.02,34.02,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 12:55:00+00:00,34.02,34.21,34.02,34.03,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 13:00:00+00:00,34.1,34.19,33.98,33.98,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 13:05:00+00:00,33.93,33.95,33.84,33.86,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 13:10:00+00:00,33.87,34.12,33.87,33.97,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 13:15:00+00:00,33.97,33.97,33.86,33.86,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 13:20:00+00:00,33.82,33.83,33.82,33.83,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 13:25:00+00:00,33.82,34.1,33.75,34.1,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 13:30:00+00:00,34.22,34.5,33.78,34.5,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 13:35:00+00:00,34.5,34.6,34.39,34.6,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 13:40:00+00:00,34.52,34.64,34.06,34.21,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 13:45:00+00:00,34.2,34.2,33.95,34.08,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 13:50:00+00:00,34.25,34.31,34.25,34.31,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 13:55:00+00:00,34.22,34.38,34.15,34.18,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 14:00:00+00:00,34.25,34.4,34.25,34.4,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 14:05:00+00:00,34.5,34.7,34.5,34.64,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 14:10:00+00:00,34.73,34.75,34.57,34.75,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 14:15:00+00:00,34.72,34.77,34.72,34.75,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 14:20:00+00:00,34.35,34.35,34.17,34.17,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 14:25:00+00:00,34.17,34.17,34.17,34.17,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 14:30:00+00:00,34.27,34.34,34.24,34.33,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 14:35:00+00:00,34.24,34.4,34.24,34.4,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 14:40:00+00:00,34.39,34.42,34.27,34.42,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 14:45:00+00:00,34.35,34.43,34.33,34.43,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 14:50:00+00:00,34.39,34.5,34.39,34.5,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 14:55:00+00:00,34.46,34.7,34.46,34.7,2025-09-20 17:52:14
